Street,City_State_ZipCode,Price,Bedrooms,Bathrooms,Size,Lot Size,TypePrice per Sqft,Year,Neighborhood,Time on Zillow,Views,Saves
"3225 Pomponio Creek Rd,","San Gregorio, CA 94074","$10,000,000","1,300 Square Feet",,"1,300 Square Feet",0 spaces,Vacant Land,"$8,333",1900,Neighborhood: 94074,318 days,"1,134",15
"7222 Shannon Park Ct,","South San Francisco, CA 94080","$1,273,888",4,2,"1,920",$253/mo,Single Family,"2,308 sqft",2003,Neighborhood: Westborough,368 days,528,6
"1177 California St APT 311,","San Francisco, CA 94108","$545,000",--,1,437,$932/mo,Condo,"$1,247",1978,Neighborhood: Nob Hill,2 days,361,3
"135 Wetmore St,","San Francisco, CA 94108","$1,995,500","2,221 Square Feet",,"2,221 Square Feet","On-street, Covered",Vacant Land,"$2,494",1908,Neighborhood: Nob Hill,--,440,2
"101 Lombard St APT 802W,","San Francisco, CA 94111","$1,472,539",2,2,"1,532",Garage - Attached,Condo,"$1,347/mo",1983,Neighborhood: Telegraph Hill,264 days,308,5
"240 Lombard St APT 437,","San Francisco, CA 94111","$575,000",1,1,566,$953/mo,Condo,"$1,016",1993,Neighborhood: Telegraph Hill,218 days,"1,665",40
"170 Pacific Ave APT 22,","San Francisco, CA 94111","$1,595,000",2,2,"1,347",$955/mo,Condo,"$1,184",1985,Neighborhood: North Waterfront,168 days,747,15
"65 Bridge Rd,","Hillsborough, CA 94010","$4,880,000",0.687 Acres,,0.687 Acres,"Garage, Garage - Attached",Vacant Land,"$1,291",1956,Neighborhood: 94010,620 days,520,3
"35 Victor Park Ln,","Hillsborough, CA 94010","$3,400,000",0.618 Acres,,0.618 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94010,187 days,571,2
"858 Anson Rd,","Burlingame, CA 94010","$1,505,302",2,3,"1,491",No Data,Townhouse,"$1,010",2020,Neighborhood: 94010,,,
"45 Calaveras Ct,","Hillsborough, CA 94010","$7,500,000",5,7,"6,622",4.34 Acres,Single Family,"$1,133",2020,Neighborhood: 94010,318 days,"1,454",16
"1400 El Camino Real,","Menlo Park, CA 94025","$41,654,795",--,--,--,0 spaces,Single Family,No Data,No Data,Neighborhood: 94025,95 days,367,0
"1307 Hill Ave,","Menlo Park, CA 94025","$1,174,861",4,2,"1,140","Carport, Garage - Attached, Covered",Single Family,"5,000 sqft",1955,Neighborhood: Belle Haven,191 days,"1,008",8
"1108 Henderson Ave,","Menlo Park, CA 94025","$1,268,438",3,1,"1,310",Carport,Single Family,"4,721 sqft",1954,Neighborhood: Belle Haven,358 days,248,1
"1351 Carlton Ave,","Menlo Park, CA 94025","$1,029,000",2,1,"1,070","5,998 sqft",Single Family,$962,1950,Neighborhood: Belle Haven,151 days,784,7
"743 Roble Ave,","Menlo Park, CA 94025","$3,788,000",--,--,"4,340",Carport,Multiple Occupancy,$873,1956,Neighborhood: Downtown Menlo Park,74 days,620,3
"21 Willow Rd APT 15,","Menlo Park, CA 94025","$1,189,888",2,2,"1,167",$631/mo,Condo,"$1,020",1976,Neighborhood: Linfield Oaks,71 days,302,6
"1212 Hollyburne Ave,","Menlo Park, CA 94025","$1,188,000",3,1,"1,020","5,749 sqft",Single Family,"$1,165",1951,Neighborhood: Belle Haven,114 days,870,18
"2140 Santa Cruz Ave,","Menlo Park, CA 94025","$1,249,000",2,2,"1,203",$787/mo,Condo,"$1,038",1978,Neighborhood: Sharon Heights,165 days,635,16
"1734 Hempstead Pl,","Redwood City, CA 94061","$1,479,734",3,1,"1,020","Garage, Garage - Attached",Single Family,"6,098 sqft",1952,Neighborhood: Woodside Plaza,332 days,970,5
"1424 Hopkins Ave,","Redwood City, CA 94062","$1,941,185",6,2,"2,130","Garage, Garage - Attached, Covered",Single Family,"8,712 sqft",1940,Neighborhood: Mt. Carmel,249 days,786,4
"AA0 Loma Ct,","Redwood City, CA 94062","$499,000",0.252 Acres,,0.252 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94062,637 days,206,2
"4 Lawler Ranch Rd,","Woodside, CA 94062","$17,500,000",90 Acres,,90 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94062,412 days,"1,025",11
"12 Montecito Rd,","Woodside, CA 94062","$1,450,000",3.658 Acres,,3.658 Acres,No Data,Vacant Land,Covered,No Data,Neighborhood: 94062,584 days,"1,162",16
"3332 La Mesa Dr APT 2,","San Carlos, CA 94070","$925,000",2,2,"1,040",$564/mo,Condo,$889,1973,Neighborhood: 94070,43 days,862,9
"1501 Cherry St UNIT 210,","San Carlos, CA 94070","$1,314,350",2,2,"1,096",No Data,Single Family,"$1,199",2020,Neighborhood: 94070,,,
"1501 Cherry St UNIT 103,","San Carlos, CA 94070","$1,300,000",2,2,"1,158",No Data,Single Family,"$1,123",2020,Neighborhood: 94070,,,
"651 655 Geary St,","San Francisco, CA 94102","$8,500,000","7,008 Square Feet",,"7,008 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Tenderloin,325 days,411,3
"1400 Mission St APT 609,","San Francisco, CA 94103","$334,848",1,1,420,$443/mo,Condo,$797,2015,Neighborhood: South of Market,112 days,573,9
"1 Federal St APT 5,","San Francisco, CA 94107","$815,000",1,1,762,$711/mo,Condo,"$1,070",2003,Neighborhood: South Beach,88 days,457,19
"3620 Cesar Chavez St #603,","San Francisco, CA 94110","$1,369,000",2,2,"1,038",$600/mo,Condo,"$1,319",2020,Neighborhood: Mission,115 days,83,6
"8 Joy St,","San Francisco, CA 94110","$1,249,000",3,2.5,"1,658","1,751 sqft",Single Family,$753,1999,Neighborhood: Peralta Heights,99 days,"2,108",77
"39 San Carlos St #201,","San Francisco, CA 94110","$1,625,000",4,3,"1,353",$344/mo,Condo,"$1,201",2015,Neighborhood: Mission,46 days,670,22
"0 0 Edgemar,","Daly City, CA 94014","$1,700,000",3.36 Acres,,3.36 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Crocker,657 days,269,1
"1516 Los Montes Dr,","Burlingame, CA 94010","$4,261,497",5,6,"4,650","Garage, Garage - Detached",Single Family,0.29 Acres,2017,Neighborhood: 94010,99 days,190,1
"720 Jacaranda Cir,","Hillsborough, CA 94010","$6,605,588",6,8,"6,809","Garage, Garage - Attached",Single Family,0.66 Acres,1977,Neighborhood: 94010,213 days,"1,580",22
"1800 Elmwood Rd,","Hillsborough, CA 94010","$6,055,766",5,5,"4,908","Underground/Basement, Garage - Attached",Single Family,0.42 Acres,1946,Neighborhood: 94010,191 days,"1,745",20
"9 E Carol Ave,","Burlingame, CA 94010","$2,591,907",4,2.5,"2,510","Garage, None",Single Family,"7,187 sqft",1923,Neighborhood: 94010,191 days,"7,164",53
"4 La Mesa Ct,","Burlingame, CA 94010","$2,475,192",--,--,--,0 spaces,Single Family,0.37 Acres,No Data,Neighborhood: 94010,149 days,464,5
"1316 Paloma Ave,","Burlingame, CA 94010","$1,782,731",4,3.5,"2,359","Garage, Garage - Attached",Single Family,"5,967 sqft",1920,Neighborhood: 94010,130 days,"1,374",21
"1217 Southdown Rd,","Hillsborough, CA 94010","$3,133,695",3,2,"2,105","Garage, Garage - Attached, Covered",Single Family,0.55 Acres,1955,Neighborhood: 94010,186 days,"1,048",10
"30 Conifer Ln,","Hillsborough, CA 94010","$6,530,857",5,6,"4,830","Garage, Garage - Attached, Covered",Single Family,0.52 Acres,1964,Neighborhood: 94010,351 days,"4,749",34
"3620 Cesar Chavez St #204,","San Francisco, CA 94110","$1,050,000",2,2,"1,038",$549/mo,Condo,"$1,012",2020,Neighborhood: Mission,115 days,164,14
"937 S Van Ness Ave,","San Francisco, CA 94110","$3,480,000",6,3,"2,281","3,375 sqft",Single Family,"$1,526",1875,Neighborhood: Mission,39 days,"1,298",21
"57 Peters Ave,","San Francisco, CA 94110","$1,595,000",4,3,"1,878",Carport,Multiple Occupancy,$849,1909,Neighborhood: Bernal Heights,36 days,"1,841",71
"566 S Van Ness Ave APT 12,","San Francisco, CA 94110","$610,000",1,1,491,$574/mo,Condo,"$1,242",2007,Neighborhood: Mission,71 days,918,34
"668 Banks St,","San Francisco, CA 94110","$1,199,000",4,2,"1,245","1,751 sqft",Single Family,$963,1948,Neighborhood: Bernal Heights,78 days,"1,584",18
"1262 Vermont St,","San Francisco, CA 94110","$2,000,000",4,3,"2,445","2,495 sqft",Single Family,$818,1900,Neighborhood: Potrero Hill,330 days,"1,106",38
"1712-1716 Bryant St,","San Francisco, CA 94110","$2,300,000",9,3,"4,768",Garage - Attached,Multiple Occupancy,$482,1905,Neighborhood: Mission,56 days,537,22
"59 Mirabel Ave,","San Francisco, CA 94110","$1,075,000",2,1,905,None,Condo,"$1,188",1925,Neighborhood: Bernal Heights,86 days,907,33
"2824 21st St,","San Francisco, CA 94110","$1,849,000",3,2,"3,726",$360/mo,Condo,$496,1910,Neighborhood: Mission,222 days,990,50
"199 Tiffany Ave APT 209,","San Francisco, CA 94110","$1,125,000",2,2,"1,278",$761/mo,Condo,$880,2004,Neighborhood: Bernal Heights,58 days,908,18
"2799 Bryant St,","San Francisco, CA 94110","$1,295,000",2,1,"1,570",$180/mo,Condo,$825,1920,Neighborhood: Mission,43 days,517,25
"2412 Harrison St APT 208,","San Francisco, CA 94110","$995,000",1,2,"1,267",$658/mo,Condo,$785,2002,Neighborhood: Mission,36 days,614,29
"112 Putnam St,","San Francisco, CA 94110","$1,399,000",2,3,"2,508","1,751 sqft",Single Family,$558,1923,Neighborhood: Bernal Heights,43 days,706,14
"2666 21st St,","San Francisco, CA 94110","$2,395,000",3,3.5,"2,196","2,321 sqft",Single Family,"$1,091",1910,Neighborhood: Mission,43 days,808,27
"183 Duboce Ave,","San Francisco, CA 94103","$3,495,000",--,--,"6,150",0 spaces,Multiple Occupancy,$568,No Data,Neighborhood: Mission Dolores,57 days,120,1
"611 Minna St,","San Francisco, CA 94103","$2,950,000",--,--,"4,740",0 spaces,Multiple Occupancy,$622,1907,Neighborhood: South of Market,58 days,180,3
"200 Brannan St APT 314,","San Francisco, CA 94107","$830,000",1,1,732,$710/mo,Condo,"$1,134",2004,Neighborhood: South Beach,114 days,408,13
"45 Bartlett St UNIT 303,","San Francisco, CA 94110","$995,000",2,1,830,$689/mo,Condo,"$1,199",2014,Neighborhood: Mission,81 days,197,2
"1 Putnam St,","San Francisco, CA 94110","$1,790,000",4,3,"2,180",971 sqft,Single Family,$821,1947,Neighborhood: Bernal Heights,372 days,621,9
"2787-89 Bryant St,","San Francisco, CA 94110","$2,595,000",6,4,"3,195","Garage - Attached, Covered",Multiple Occupancy,$812,1928,Neighborhood: Mission,87 days,458,21
"624 Guerrero St,","San Francisco, CA 94110","$1,250,000",2,1.5,"1,196",$295/mo,Condo,"$1,045",1906,Neighborhood: Mission Dolores,86 days,713,27
"996 S Van Ness Ave APT 1,","San Francisco, CA 94110","$1,050,000",2,1,"1,331",$260/mo,Condo,$789,1979,Neighborhood: Mission,121 days,534,6
"3500 19th St #208,","San Francisco, CA 94110","$1,550,000",2,3,"1,141",$575/mo,Condo,"$1,358",2013,Neighborhood: Mission Dolores,101 days,448,4
"3305 Cesar Chavez St,","San Francisco, CA 94110","$1,095,000",2,2,"1,015",$570/mo,Condo,"$1,079",1905,Neighborhood: Bernal Heights,175 days,246,9
"1712 Bryant St,","San Francisco, CA 94110","$1,150,000",3,1,"1,737",Garage - Attached,Condo,$662,1905,Neighborhood: Mission,51 days,249,8
"1188 Valencia St APT 509,","San Francisco, CA 94110","$1,449,000",2,2,869,$533/mo,Condo,"$1,667",2018,Neighborhood: Mission,57 days,530,17
"1471 S Van Ness Ave #1,","San Francisco, CA 94110","$1,495,000",3,3,"1,500",$351/mo,Condo,$997,2001,Neighborhood: Mission,164 days,648,18
"45 Bartlett St UNIT 812,","San Francisco, CA 94110","$679,000",1,1,521,$538/mo,Condo,"$1,303",2014,Neighborhood: Mission,161 days,202,8
"33 Camp St,","San Francisco, CA 94110","$1,175,000",2,1,968,$290/mo,Condo,"$1,214",No Data,Neighborhood: Mission Dolores,80 days,196,10
"3620 Cesar Chavez St #501,","San Francisco, CA 94110","$1,425,000",2,2,"1,144",$618/mo,Condo,"$1,246",2020,Neighborhood: Mission,94 days,41,1
"2645 Folsom St,","San Francisco, CA 94110","$869,000",2,2,--,No Data,Condo,None,1906,Neighborhood: Mission,64 days,"1,935",56
"3620 Cesar Chavez St #404,","San Francisco, CA 94110","$1,249,000",2,2,"1,038",$600/mo,Condo,"$1,203",2020,Neighborhood: Mission,52 days,166,11
"631-633 San Jose Ave,","San Francisco, CA 94110","$1,649,000",5,1,"2,560",Garage - Attached,Multiple Occupancy,$644,1928,Neighborhood: Bernal Heights,78 days,523,22
"56 Putnam St,","San Francisco, CA 94110","$425,000","1,751 Square Feet",,"1,751 Square Feet",No Data,Vacant Land,0 spaces,1900,Neighborhood: Bernal Heights,65 days,"1,213",15
"10-12 Appleton Ave,","San Francisco, CA 94110","$1,838,000",4,2,"3,000","2,874 sqft",Single Family,$613,1909,Neighborhood: Holly Park,81 days,694,10
"1040 Florida St,","San Francisco, CA 94110","$1,395,000",4,--,"2,050",0 spaces,Multiple Occupancy,$680,1900,Neighborhood: Mission,203 days,605,19
"816 Hampshire St,","San Francisco, CA 94110","$1,695,000",5,--,"3,199",None,Multiple Occupancy,$530,1900,Neighborhood: Mission,92 days,586,17
"1337 Hampshire St,","San Francisco, CA 94110","$1,198,000",3,2,951,"Garage - Attached, Covered",Condo,"$1,260",1906,Neighborhood: Mission,156 days,862,40
"3311 Cesar Chavez St #A,","San Francisco, CA 94110","$1,095,000",2,2,"1,030",$570/mo,Condo,"$1,063",1905,Neighborhood: Bernal Heights,159 days,280,16
"1694 York St,","San Francisco, CA 94110","$2,495,000",4,3.5,"2,815","1,964 sqft",Single Family,$886,1903,Neighborhood: Peralta Heights,85 days,607,32
"2812 19th St,","San Francisco, CA 94110","$1,725,000",4,3,"1,713",$150/mo,Condo,"$1,007",1900,Neighborhood: Mission,63 days,691,24
"3566 18th St,","San Francisco, CA 94110","$1,195,000",2,1,"1,175",$387/mo,Condo,"$1,017",1917,Neighborhood: Mission Dolores,94 days,727,28
"151-153 Bartlett St,","San Francisco, CA 94110","$1,997,000",4,2,"2,803",0 spaces,Multiple Occupancy,$712,1900,Neighborhood: Mission,91 days,805,28
"186 Albion St,","San Francisco, CA 94110","$1,115,000",2,1,842,$275/mo,Condo,"$1,324",1909,Neighborhood: Mission Dolores,37 days,350,19
"3830 Mission St,","San Francisco, CA 94110","$1,099,000",--,--,"2,462",0 spaces,Multiple Occupancy,$446,1921,Neighborhood: St. Marys Park,37 days,806,19
"301 Mission St APT 4D,","San Francisco, CA 94105","$874,684",1,1,789,"None, Covered",Condo,"$1,670/mo",2009,Neighborhood: South of Market,150 days,251,4
"950 Harrison St UNIT 104,","San Francisco, CA 94107","$1,089,404",2,2.5,"1,403",No Data,Multiple Occupancy,0 spaces,2000,Neighborhood: South of Market,268 days,"1,041",17
"1700 20th St,","San Francisco, CA 94107","$1,480,309",--,--,"1,946",0 spaces,Single Family,"1,245 sqft",1921,Neighborhood: Potrero Hill,109 days,462,4
"2701 Van Ness Ave APT 603,","San Francisco, CA 94109","$585,392",--,1,551,0 spaces,Condo,$557/mo,1929,Neighborhood: Union Street,346 days,708,10
"83-85 Tiffany Ave,","San Francisco, CA 94110","$1,995,000",4,2,"2,228",Garage - Attached,Multiple Occupancy,$895,1949,Neighborhood: Bernal Heights,67 days,286,4
"512 Capp St,","San Francisco, CA 94110","$2,158,880",--,--,--,No Data,Multiple Occupancy,0 spaces,1890,Neighborhood: Mission,64 days,212,8
"3159-3163 24th St,","San Francisco, CA 94110","$2,995,000",--,--,"5,040",0 spaces,Multiple Occupancy,$594,1900,Neighborhood: Mission,80 days,245,5
"3578-3582 20th St,","San Francisco, CA 94110","$2,495,000",--,--,"4,299",Garage - Attached,Multiple Occupancy,$580,1905,Neighborhood: Mission,86 days,267,10
"3590 20th St APT 204,","San Francisco, CA 94110","$2,199,000",3,2.5,"1,603",$670/mo,Condo,"$1,372",2015,Neighborhood: Mission,44 days,381,12
"244 Banks St,","San Francisco, CA 94110",: ,3,3,"1,300",0 spaces,Single Family,"1,742 sqft",1992,Neighborhood: Bernal Heights,274 days,"3,614",39
"750 Peralta Ave,","San Francisco, CA 94110","$699,000","8,285 Square Feet",,"8,285 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Bernal Heights,73 days,437,5
"2637 22nd St,","San Francisco, CA 94110","$1,950,000",3,3,"2,198",$370/mo,Condo,$887,1912,Neighborhood: Mission,54 days,325,10
"2125 Bryant St APT 307,","San Francisco, CA 94110","$1,799,000",3,2.5,"1,845",$646/mo,Condo,$975,2009,Neighborhood: Mission,75 days,193,7
"610 Guerrero St,","San Francisco, CA 94110","$1,950,000",6,4,"2,806",0 spaces,Multiple Occupancy,$695,1922,Neighborhood: Mission Dolores,67 days,777,23
"3620 Cesar Chavez St #402,","San Francisco, CA 94110","$1,275,000",2,2,"1,144",$618/mo,Condo,"$1,115",2020,Neighborhood: Mission,115 days,89,6
"720 York St SUITE 102,","San Francisco, CA 94110","$1,325,000",1,1,"1,454",$598/mo,Condo,$911,1999,Neighborhood: Mission,131 days,290,10
"881 Moultrie St,","San Francisco, CA 94110","$350,000","1,751 Square Feet",,"1,751 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Bernal Heights,44 days,"1,289",14
"648-652 S Van Ness Ave,","San Francisco, CA 94110","$1,850,000",6,3,"4,275",Garage - Attached,Multiple Occupancy,$433,1911,Neighborhood: Mission,80 days,555,22
"1149 Esmeralda Ave,","San Francisco, CA 94110","$495,000",605 Square Feet,,605 Square Feet,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Peralta Heights,65 days,674,12
"3301 Cesar Chavez #A,","San Francisco, CA 94110","$1,025,000",2,2,985,$570/mo,Condo,"$1,041",1905,Neighborhood: Bernal Heights,175 days,180,10
"348 Dolores St,","San Francisco, CA 94110","$1,299,000",4,1,"1,519",Garage - Attached,Condo,$855,1905,Neighborhood: Mission Dolores,77 days,890,23
"381 Dolores St,","San Francisco, CA 94110","$2,650,000",4,2,"2,380","3,306 sqft",Single Family,"$1,113",1908,Neighborhood: Mission Dolores,161 days,"1,078",9
"1041-1043 Alabama St,","San Francisco, CA 94110","$1,775,000",--,--,"3,598",0 spaces,Multiple Occupancy,$493,1900,Neighborhood: Mission,42 days,347,9
"31 Camp St,","San Francisco, CA 94110","$1,025,000",2,1,968,$240/mo,Condo,"$1,059",1909,Neighborhood: Mission Dolores,50 days,333,16
"3500 19th St #301,","San Francisco, CA 94110","$2,395,000",2,2.5,"1,492",$683/mo,Condo,"$1,605",2013,Neighborhood: Mission Dolores,66 days,152,4
"2977 24th St,","San Francisco, CA 94110","$1,399,999",4,1,"3,168",0 spaces,Multiple Occupancy,$442,1900,Neighborhood: Mission,64 days,612,6
"3412 18th St,","San Francisco, CA 94110","$2,850,000",16,8,"4,590",0 spaces,Multiple Occupancy,$621,1907,Neighborhood: Mission,102 days,420,21
"212 Putnam St,","San Francisco, CA 94110","$1,340,000",3,2,"1,750","1,751 sqft",Single Family,$766,1907,Neighborhood: Bernal Heights,372 days,868,9
"792 Capp St #4,","San Francisco, CA 94110","$1,950,000",3,3,--,0 spaces,Condo,$388/mo,2020,Neighborhood: Mission,59 days,179,7
"1714 Bryant St,","San Francisco, CA 94110","$1,150,000",3,1,"1,590",Garage - Attached,Condo,$723,1905,Neighborhood: Mission,51 days,207,5
"610 Peralta Ave,","San Francisco, CA 94110","$995,000",2,1,788,$200/mo,Condo,"$1,263",1959,Neighborhood: Bernal Heights,67 days,340,8
"1174-1176 Florida St,","San Francisco, CA 94110","$1,995,000",6,1,"3,780",0 spaces,Multiple Occupancy,$528,1900,Neighborhood: Mission,57 days,422,7
"2829 25th St #2,","San Francisco, CA 94110","$1,575,000",2,2,"1,317",$325/mo,Condo,"$1,196",2020,Neighborhood: Mission,37 days,261,18
"635-637 S Van Ness Ave,","San Francisco, CA 94110","$1,995,000",--,2,"5,320",0 spaces,Multiple Occupancy,$375,1912,Neighborhood: Mission,142 days,168,6
"2700 21st St,","San Francisco, CA 94110","$1,299,990",4,1,"2,900",0 spaces,Multiple Occupancy,$448,1909,Neighborhood: Mission,73 days,521,16
"875 Francisco St,","San Francisco, CA 94109","$15,219,353",--,3,"5,331",0 spaces,Single Family,"3,576 sqft",1915,Neighborhood: Russian Hill,283 days,"1,817",4
"868 Moultrie St,","San Francisco, CA 94110","$2,100,000","1,751 Square Feet",,"1,751 Square Feet",No Data,Vacant Land,0 spaces,1900,Neighborhood: Bernal Heights,339 days,97,1
"2250 Mission St,","San Francisco, CA 94110","$4,775,000",--,--,"11,000",Covered,Multiple Occupancy,$434,1975,Neighborhood: Mission,194 days,201,3
"332 Bradford St,","San Francisco, CA 94110","$575,000","1,751 Square Feet",,"1,751 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Bernal Heights,87 days,294,6
"3355 Mission St,","San Francisco, CA 94110","$2,450,000",--,--,"5,100",0 spaces,Multiple Occupancy,$480,1916,Neighborhood: Bernal Heights,127 days,132,6
"3070 24th St,","San Francisco, CA 94110","$1,850,000",--,--,"5,016",Covered,Multiple Occupancy,$369,1900,Neighborhood: Mission,161 days,119,6
"836-838 Guerrero St,","San Francisco, CA 94110","$2,450,000",4,--,"2,600",0 spaces,Multiple Occupancy,$942,1926,Neighborhood: Dolores Heights,59 days,312,5
"384 Holladay Ave,","San Francisco, CA 94110","$795,000","1,751 Square Feet",,"1,751 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Peralta Heights,65 days,221,2
"641 San Jose Ave,","San Francisco, CA 94110","$2,400,000",3,1.5,"2,300","2,574 sqft",Single Family,"$1,043",1924,Neighborhood: Bernal Heights,199 days,324,6
"20 Oakwood St,","San Francisco, CA 94110","$2,195,000",4,--,"3,160",0 spaces,Multiple Occupancy,$695,1926,Neighborhood: Mission Dolores,137 days,560,13
"2310 Bryant St,","San Francisco, CA 94110","$1,900,000",5,3,"1,838",0 spaces,Multiple Occupancy,"$1,034",1906,Neighborhood: Mission,141 days,209,3
"2817 24th St,","San Francisco, CA 94110","$1,995,000",--,--,"2,760",0 spaces,Multiple Occupancy,$723,1907,Neighborhood: Mission,59 days,162,8
"3351 Cesar Chavez,","San Francisco, CA 94110","$2,000,000",--,--,"4,050","Carport, Covered",Multiple Occupancy,$494,1961,Neighborhood: Bernal Heights,52 days,165,7
"1343 Sacramento St,","San Francisco, CA 94109","$2,900,000","3,441 Square Feet",,"3,441 Square Feet","$2,550/mo",Vacant Land,"$1,450",1907,Neighborhood: Nob Hill,155 days,262,0
"841 Polk St,","San Francisco, CA 94109","$1,100,000","2,922 Square Feet",,"2,922 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Tenderloin,152 days,311,6
"1627 Clay St,","San Francisco, CA 94109","$3,995,000",--,--,"10,160",0 spaces,Multiple Occupancy,$393,1908,Neighborhood: Polk Gulch,128 days,232,1
"1623-1633 California St,","San Francisco, CA 94109","$7,100,000",--,--,"15,052",0 spaces,Multiple Occupancy,$472,1923,Neighborhood: Polk Gulch,131 days,153,2
"1333 Jones St UNIT 1202,","San Francisco, CA 94109","$1,685,000",1,2,"1,445","$1,724/mo",Condo,"$1,166",1961,Neighborhood: Nob Hill,220 days,155,2
"1333 Jones St UNIT 1102,","San Francisco, CA 94109","$2,199,000",1,2,"1,590","$1,592/mo",Condo,"$1,383",1960,Neighborhood: Nob Hill,182 days,145,6
"1172 Union St #1176,","San Francisco, CA 94109","$4,300,000",6,3,--,Central,Multiple Occupancy,Garage - Attached,1908,Neighborhood: Russian Hill,89 days,423,5
"2727 Polk St,","San Francisco, CA 94109","$4,995,000",--,--,"7,584",Covered,Multiple Occupancy,$659,1923,Neighborhood: Russian Hill,73 days,563,1
"1770 Pacific Ave APT 303,","San Francisco, CA 94109","$1,648,888",2,2,"1,500",$758/mo,Condo,"$1,099",1902,Neighborhood: Pacific Heights,123 days,593,9
"1545 Pine St #501,","San Francisco, CA 94109","$995,000",1,1,581,$748/mo,Condo,"$1,713",2017,Neighborhood: Lower Nob Hill,155 days,96,1
"1174 Union St,","San Francisco, CA 94109","$1,450,000",2,1.5,--,0 spaces,Condo,$350/mo,1908,Neighborhood: Russian Hill,89 days,294,10
"1333 Jones St UNIT 1609,","San Francisco, CA 94109","$1,250,000",1,1,925,"$1,233/mo",Condo,"$1,351",1961,Neighborhood: Nob Hill,179 days,210,2
"1200 California St UNIT 25A,","San Francisco, CA 94109","$2,495,000",1,1.5,"1,435","$2,166/mo",Condo,"$1,739",1962,Neighborhood: Nob Hill,84 days,173,4
"1775 Broadway St APT 8,","San Francisco, CA 94109","$899,000",1,1,728,$662/mo,Condo,"$1,235",1925,Neighborhood: Pacific Heights,182 days,440,9
"1545 Pine St UNIT 409,","San Francisco, CA 94109","$1,530,000",2,2,"1,400","$1,050/mo",Condo,"$1,093",2017,Neighborhood: Lower Nob Hill,190 days,200,2
